episode_id,duid,n_versions,class,class_any_cut,first_exit_rel_h,first_cut_rel_h,reversed,survivor
1154,TORRB3,5,signal then direction,signal then direction,-11.1805555555556,,FALSE,TRUE
1159,TORRB3,11,no exit signal ever,no exit signal ever,,,FALSE,TRUE
1160,TORRB3,24,signal then direction,signal then direction,-13.3163888888889,-13.3163888888889,FALSE,FALSE
1165,TORRB3,10,signal then direction,signal then direction,-18.2322222222222,,FALSE,FALSE
1166,TORRB3,7,signal then direction,signal then direction,-40.17,,FALSE,FALSE
1175,TORRB3,6,signal then direction,signal then direction,-15.39,,FALSE,TRUE
1184,TORRB3,11,signal then direction,signal then direction,-40.1522222222222,,FALSE,TRUE
1185,TORRB3,5,signal then direction,signal then direction,-15.3894444444444,,FALSE,TRUE
1204,TORRB3,6,no exit signal ever,signal after direction,,2.97805555555556,FALSE,TRUE
1205,TORRB3,6,signal then direction,signal then direction,-11.0219444444444,-11.0219444444444,TRUE,TRUE
1207,TORRB3,2,signal after direction,signal after direction,13.615,,FALSE,TRUE
1209,TORRB3,8,signal then direction,signal then direction,-15.8486111111111,,FALSE,TRUE
1217,TORRB3,10,signal then direction,signal then direction,-40.7508333333333,-18.5447222222222,FALSE,FALSE
1420,TORRB4,5,signal then direction,signal then direction,-9.94972222222222,,FALSE,FALSE
1423,TORRB4,9,signal then direction,signal then direction,-15.965,,FALSE,FALSE
1428,TORRB4,3,signal then direction,signal then direction,-9.92472222222222,,FALSE,TRUE
1431,TORRB4,2,signal then direction,signal then direction,-9.82361111111111,,FALSE,TRUE
1432,TORRB4,6,signal then direction,signal then direction,-16.8669444444444,,FALSE,TRUE
1433,TORRB4,12,signal then direction,signal then direction,-20.5794444444444,,FALSE,TRUE
1434,TORRB4,10,signal then direction,signal then direction,-17.3491666666667,17.0422222222222,FALSE,FALSE
1436,TORRB4,5,signal then direction,signal then direction,-10.0016666666667,,FALSE,TRUE
1444,TORRB4,4,no exit signal ever,no exit signal ever,,,FALSE,FALSE
1445,TORRB4,3,signal then direction,signal then direction,-15.1963888888889,7.7275,FALSE,TRUE
1446,TORRB4,7,signal then direction,signal then direction,-17.2777777777778,,FALSE,TRUE
1450,TORRB4,5,signal then direction,signal then direction,-18.5825,,FALSE,TRUE
1452,TORRB4,4,signal then direction,signal then direction,-15.4975,-9.96722222222222,FALSE,TRUE
1461,TORRB4,7,signal then direction,signal then direction,-17.0261111111111,-12.9944444444444,FALSE,TRUE
1473,TORRB4,15,signal then direction,signal then direction,-16.2583333333333,11.9527777777778,FALSE,TRUE
1477,TORRB4,8,signal then direction,signal then direction,-6.06444444444445,-6.06444444444445,TRUE,FALSE
1485,TORRB4,10,signal then direction,signal then direction,-14.765,6.7825,FALSE,TRUE
1486,TORRB4,10,signal then direction,signal then direction,-18.5830555555556,13.1769444444444,FALSE,TRUE
1490,TORRB4,9,signal then direction,signal then direction,-16.8222222222222,-16.8222222222222,TRUE,TRUE
