report_event,duid,participant,region,issue_time,effective_time,cancellation_time,directed_resource_type,reason,direction_instruction,market_notice,directed_mwh,compensation_payment,retained_trading_amount,additional_compensation,ie_fee,cra,source_format,source_file
2021-02-25T23:29:59Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-03-01T14:29:59Z,2021-03-02T03:59:59Z,2021-03-03T15:59:59Z,,System strength,Remain,MN 83035,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-25T23:29:59Z,PPCCGT,Pelican Point Power Limited,SA1,2021-03-02T15:59:59Z,2021-03-03T09:30:00Z,2021-03-04T06:00:00Z,,System strength,Remain,MN 83035,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-25T23:29:59Z,PPCCGT,Pelican Point Power Limited,SA1,2021-03-04T06:00:00Z,2021-03-04T06:00:00Z,2021-03-04T07:30:00Z,,System strength,Remain,MN 83035,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-25T23:29:59Z,PPCCGT,Pelican Point Power Limited,SA1,2021-03-04T07:30:00Z,2021-03-04T07:30:00Z,2021-03-04T15:59:59Z,,System strength,Remain,MN 83035,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-02-25T23:29:59Z,PPCCGT,Pelican Point Power Limited,SA1,2021-03-04T17:00:00Z,2021-03-05T08:29:59Z,2021-03-06T16:30:00Z,,System strength,Remain,MN 83035,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-07T17:29:59Z,PPCCGT,Pelican Point Power Limited,SA1,2021-03-07T17:29:59Z,2021-03-08T09:00:00Z,2021-03-10T03:59:59Z,,System strength,Remain,MN 83140,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-07T17:29:59Z,TORRB4,AGL SA Generation Pty Limited,SA1,2021-03-07T17:29:59Z,2021-03-08T09:59:59Z,2021-03-12T15:00:00Z,,System strength,Remain,MN 83140,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-07T17:29:59Z,TORRB2,AGL SA Generation Pty Limited,SA1,2021-03-09T09:59:59Z,2021-03-09T11:00:00Z,2021-03-10T14:00:00Z,,System strength,Remain,MN 83140,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-07T17:29:59Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-03-11T05:00:00Z,2021-03-12T03:59:59Z,2021-03-11T05:00:59Z,,System strength,Synchronise,MN 83140,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-07T17:29:59Z,TORRB3,AGL SA Generation Pty Limited,SA1,2021-03-11T05:00:00Z,2021-03-12T03:59:59Z,2021-03-12T17:29:59Z,,System strength,Synchronise,MN 83140,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-07T17:29:59Z,TORRB2,AGL SA Generation Pty Limited,SA1,2021-03-12T15:14:59Z,2021-03-13T02:00:00Z,2021-03-14T18:30:00Z,,System strength,Remain,MN 83140,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-07T17:29:59Z,TORRB4,AGL SA Generation Pty Limited,SA1,2021-03-12T15:14:59Z,2021-03-13T01:30:00Z,2021-03-16T03:59:59Z,,System strength,Remain,MN 83140,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-07T17:29:59Z,PPCCGT,Pelican Point Power Limited,SA1,2021-03-12T15:59:59Z,2021-03-13T06:30:00Z,2021-03-13T22:30:00Z,,System strength,Remain,MN 83140,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-07T17:29:59Z,PPCCGT,Pelican Point Power Limited,SA1,2021-03-12T18:59:59Z,2021-03-13T00:59:59Z,2021-03-13T00:14:59Z,,System strength,Remain,MN 83140,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-07T17:29:59Z,TORRB3,AGL SA Generation Pty Limited,SA1,2021-03-13T00:59:59Z,2021-03-13T09:00:00Z,2021-03-14T23:00:00Z,,System strength,Remain,MN 83140,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-07T17:29:59Z,PPCCGT,Pelican Point Power Limited,SA1,2021-03-13T17:00:00Z,2021-03-14T08:00:00Z,2021-03-14T17:29:59Z,,System strength,Remain,MN 83140,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-07T17:29:59Z,TORRB3,AGL SA Generation Pty Limited,SA1,2021-03-14T21:59:59Z,2021-03-15T09:30:00Z,2021-03-15T14:29:59Z,,System strength,Remain,MN 83140,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-07T17:29:59Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-03-16T00:01:00Z,2021-03-17T00:01:00Z,2021-03-16T14:00:00Z,,System strength,Synchronise,MN 83140,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-07T17:29:59Z,TORRB3,AGL SA Generation Pty Limited,SA1,2021-03-16T00:01:00Z,2021-03-16T03:59:59Z,2021-03-16T15:30:00Z,,System strength,Remain,MN 83140,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-07T17:29:59Z,TORRB3,AGL SA Generation Pty Limited,SA1,2021-03-16T17:29:59Z,2021-03-16T21:59:59Z,2021-03-16T17:45:00Z,,System strength,Remain,MN 83383,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-17T18:00:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-03-17T18:00:00Z,2021-03-18T09:00:00Z,2021-03-18T15:00:00Z,,System strength,Remain,MN 83394,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-17T18:00:00Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-03-17T18:00:00Z,2021-03-19T00:00:00Z,2021-03-18T22:30:00Z,,System strength,Remain,MN 83394,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-17T18:00:00Z,TORRB2,AGL SA Generation Pty Limited,SA1,2021-03-17T18:00:00Z,2021-03-18T00:59:59Z,2021-03-18T18:00:00Z,,System strength,Remain,MN 83394,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-17T18:00:00Z,TORRB3,AGL SA Generation Pty Limited,SA1,2021-03-17T18:00:00Z,2021-03-18T00:00:00Z,2021-03-18T16:30:00Z,,System strength,Remain,MN 83394,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-17T18:00:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-03-18T18:59:59Z,2021-03-18T21:30:00Z,2021-03-21T13:30:00Z,,System strength,Remain,MN 83394,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-17T18:00:00Z,TORRB3,AGL SA Generation Pty Limited,SA1,2021-03-18T18:59:59Z,2021-03-19T03:59:59Z,2021-03-20T16:30:00Z,,System strength,Remain,MN 83394,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-17T18:00:00Z,TORRB2,AGL SA Generation Pty Limited,SA1,2021-03-19T17:00:00Z,2021-03-20T00:30:00Z,2021-03-22T05:00:00Z,,System strength,Remain,MN 83394,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-17T18:00:00Z,TORRB1,AGL SA Generation Pty Limited,SA1,2021-03-20T22:09:59Z,2021-03-21T00:59:59Z,2021-03-21T14:29:59Z,,System strength,Remain,MN 83394,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
2021-03-17T18:00:00Z,PPCCGT,Pelican Point Power Limited,SA1,2021-03-23T16:30:00Z,2021-03-24T09:00:00Z,2021-03-25T15:00:00Z,,System strength,Remain,MN 83549,,,,,,,old,NEM Event System security energy directions to SA generators 1 January 2021 to 7 January 2023.xlsx
