cat,DUID,example
direction/RTS,TORRB3,10:01~A~050 Chg in AEMO PD~50 PD availability decrease sa average 294MW 16:00 - 04:00
direction/RTS,PPCCGT,Change in AEMO PD - SA Price Decrease AVG -$13.44 DI02:30-05:00 when comparing 16:02PD against 15:02
direction/RTS,TORRB3,010 AEMO direction~PNs #120679 & #120680
direction/RTS,TORRB4,010 AEMO direction~10 PN 108396
direction/RTS,PPCCGT,Update RTS Profile. SL.
plant/technical,TORRB4,010 Unexpected/plant limits~112 redist across portfolio - BARKIPS1
plant/technical,TORRB4,050 Chg in unit operation~501 changed run up profile
plant/technical,TORRB3,030 Increase in avail cap~303 outage schedule change - TORRB2
plant/technical,TORRB4,050 Chg in unit operation~501 changed min load due to Seagas pipeline constraint
plant/technical,PPCCGT,Update Avail: Current Ambient Temperature
plant/technical,TORRB2,010 Unexpected/plant limits~113 Availability Statement
plant/technical,PPCCGT,Update Avail: Current Ambient Temperature
plant/technical,TORRB3,07:20~P~010 Unexpected/plant limits~112 redist across portfolio - TORRB2 remaining on
plant/technical,PPCCGT,Update Avail: Current Ambient Temperature. SL
plant/technical,TORRB4,010 Unexpected/plant limits~112 redist across portfolio - TIBS low SOC
plant/technical,TORRB3,19:30~P~010 Unexpected/plant limits~stable load required on TORRB2 for spray water valve / redistrib
plant/technical,TORRB4,050 Chg in unit operation~updating min load - valve limit
plant/technical,PPCCGT,Update FCAS: Reflect technical characteristics-SL
plant/technical,TORRB4,050 Chg in unit operation~Profile and ramp rate updated for unit sync
plant/technical,TORRB4,"010 Unexpected/plant limits~112 redist across portfolio - TORRB3, TORRB4 and BIPS"
plant/technical,TORRB3,030 Increase in avail cap~301 plant limit lifted
plant/technical,TORRB2,010 Unexpected/plant limits~112 redist across portfolio/LYA1 1425
plant/technical,PPCCGT,Unit failed start
plant/technical,PPCCGT,Update Avail:  Ambient Temperature
plant/technical,TORRB2,010 Unexpected/plant limits~106 Aux/Plant failure
price/forecast,PPCCGT,Constraint Management: V::S_NIL_MAXG_1. SL
price/forecast,PPCCGT,Constraint Management: V_S_HEYWOOD_UFLS. SL.
price/forecast,PPCCGT,SA 15:40 Dispatch Price $149.97 Higher than 16:00 PD Price $70.02-SL
price/forecast,PPCCGT,Constraint Management: V:S_600_HY_TEST_DYN. SL
price/forecast,PPCCGT,Constraint Management: V_VS_LB_HY_50
price/forecast,PPCCGT,Constraint Management: V^^N_NIL_1-SL
price/forecast,PPCCGT,Constraint Management: V::S_NIL_MAXG_1 - SL
price/forecast,PPCCGT,Constraint Management: SA_TBTU_A - SL
price/forecast,PPCCGT,Constraint Management: :S_600_HY_TEST_DYN. SL
price/forecast,PPCCGT,Constraint Management: S^^V_SETB_1. SL
price/forecast,PPCCGT,Constraint Management: V>>NIL_MLGT_MLGT_R2. SL.
price/forecast,PPCCGT,Constraint Management: S_PPT+SNPT+BLVR_410 - SL
price/forecast,PPCCGT,Constraint Management: V::S_NIL_MAXG_SECP_2
price/forecast,PPCCGT,Constraint Management: V::S_NIL_MAXG_1. SL.
price/forecast,PPCCGT,Constraint Management: S>>TBTU_TBTU_TBMO  - SL
price/forecast,PPCCGT,Response to market suspension-SL
price/forecast,PPCCGT,In response to SA SPot price $4010.58 for DI06:10. SL
price/forecast,PPCCGT,Constraint Management: S_PPT+SNPT+BLVR_220.. SL
price/forecast,PPCCGT,In response to SA spot price $247 for DI12:05. SL
price/forecast,PPCCGT,Constraint Management: V::S_DVRB_MG_CP_2. SL.
