episode_id,duid,station,short_at_tau,short_n1_at_tau,piv_at_tau,piv_n1_at_tau,on_station_at_tau,sisters_online_at_tau,sisters_heading_off_4h,sisters_went_off_prior_4h,other_station_lost_unit_pm4h,sister_at_risk,needed_to_complete,survivor
1139,TORRB3,torrens_island_b,FALSE,FALSE,FALSE,FALSE,1,0,0,0,FALSE,FALSE,FALSE,FALSE
1143,TORRB3,torrens_island_b,FALSE,FALSE,TRUE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,FALSE
1154,TORRB3,torrens_island_b,FALSE,TRUE,TRUE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,TRUE
1159,TORRB3,torrens_island_b,FALSE,FALSE,TRUE,TRUE,1,1,0,0,TRUE,TRUE,TRUE,TRUE
1160,TORRB3,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,0,0,1,TRUE,TRUE,TRUE,FALSE
1165,TORRB3,torrens_island_b,FALSE,FALSE,FALSE,FALSE,1,1,0,0,FALSE,FALSE,FALSE,FALSE
1166,TORRB3,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,FALSE
1175,TORRB3,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,TRUE
1184,TORRB3,torrens_island_b,FALSE,TRUE,TRUE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,TRUE
1185,TORRB3,torrens_island_b,FALSE,TRUE,TRUE,TRUE,1,1,0,0,TRUE,TRUE,TRUE,TRUE
1204,TORRB3,torrens_island_b,FALSE,TRUE,TRUE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,TRUE
1205,TORRB3,torrens_island_b,FALSE,TRUE,TRUE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,TRUE
1207,TORRB3,torrens_island_b,FALSE,TRUE,TRUE,TRUE,2,1,0,0,FALSE,FALSE,FALSE,TRUE
1209,TORRB3,torrens_island_b,FALSE,TRUE,TRUE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,TRUE
1217,TORRB3,torrens_island_b,FALSE,TRUE,FALSE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,FALSE
1420,TORRB4,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,FALSE
1423,TORRB4,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,FALSE
1428,TORRB4,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,TRUE
1431,TORRB4,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,TRUE
1432,TORRB4,torrens_island_b,FALSE,TRUE,TRUE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,TRUE
1433,TORRB4,torrens_island_b,FALSE,TRUE,FALSE,TRUE,0,0,0,0,FALSE,FALSE,FALSE,TRUE
1434,TORRB4,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,FALSE
1436,TORRB4,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,TRUE
1444,TORRB4,torrens_island_b,FALSE,FALSE,FALSE,FALSE,2,1,0,0,FALSE,FALSE,FALSE,FALSE
1445,TORRB4,torrens_island_b,FALSE,TRUE,TRUE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,TRUE
1446,TORRB4,torrens_island_b,FALSE,TRUE,TRUE,TRUE,2,1,0,0,TRUE,TRUE,TRUE,TRUE
1450,TORRB4,torrens_island_b,FALSE,TRUE,TRUE,TRUE,1,0,0,0,FALSE,FALSE,FALSE,TRUE
1452,TORRB4,torrens_island_b,FALSE,TRUE,TRUE,TRUE,2,1,0,0,TRUE,TRUE,TRUE,TRUE
1461,TORRB4,torrens_island_b,FALSE,FALSE,FALSE,FALSE,2,1,0,0,TRUE,TRUE,FALSE,TRUE
1473,TORRB4,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,1,0,0,FALSE,FALSE,FALSE,TRUE
1477,TORRB4,torrens_island_b,FALSE,TRUE,TRUE,TRUE,2,1,0,0,FALSE,FALSE,FALSE,FALSE
1485,TORRB4,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,1,0,0,TRUE,TRUE,TRUE,TRUE
1486,TORRB4,torrens_island_b,FALSE,FALSE,FALSE,TRUE,1,1,0,0,TRUE,TRUE,TRUE,TRUE
1490,TORRB4,torrens_island_b,FALSE,FALSE,FALSE,FALSE,2,1,0,0,FALSE,FALSE,FALSE,TRUE
